«Политология»!!;Требуемый набор экзаменов: !1. Русский язык!2. Обществознание!3. Иностранный язык!4. История;!!Проходной балл на бюджет 2019 года: 370;!!Стоимость обучения, тыс. руб. в год: 450;!!Сайт образовательной программы: !https://www.hse.ru/ba/political/ !!
«Международные отношения»!!;Требуемый набор экзаменов: !1. Русский язык!2. Обществознание!3. Иностранный язык;!!Проходной балл на бюджет 2019 года: 399;!!Стоимость обучения, тыс. руб. в год: 540;!!Сайт образовательной программы: !https://www.hse.ru/ba/ia/ !!
«Программа двух дипломов НИУ ВШЭ и Лондонского университета по международным отношениям»;Требуемый набор экзаменов: !1. Русский язык!2. Обществознание!3. Иностранный язык;;!!Стоимость обучения, тыс. руб. в год: 720;!!Сайт образовательной программы: !http://www.hse.ru/ba/ir !!
«Реклама и связи с общественностью»!!;Требуемый набор экзаменов: !1. Русский язык!2. Обществознание!3. Иностранный язык;!!Проходной балл на бюджет 2019 года: 299;!!Стоимость обучения, тыс. руб. в год: 650;!!Сайт образовательной программы: !https://www.hse.ru/ba/ad/ !!
«Журналистика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. Литература!4. Внутренний экзамен ;!!Проходной балл на бюджет 2019 года: 380;!!Стоимость обучения, тыс. руб. в год: 490;!!Сайт образовательной программы: !https://www.hse.ru/ba/jour!/ !!
«Медиакоммуникации»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. Литература!4. Внутренний экзамен ;!!Проходной балл на бюджет 2019 года: 382;!!Стоимость обучения, тыс. руб. в год: 540;!!Сайт образовательной программы: !https://www.hse.ru/ba/media/ !!
«Филология»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. Литература!;!!Проходной балл на бюджет 2019 года: 298;!!Стоимость обучения, тыс. руб. в год: 440;!!Сайт образовательной программы: !https://www.hse.ru/ba/philology/ !!
«Античность»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. История;!!Проходной балл на бюджет 2019 года: 291;!!Стоимость обучения, тыс. руб. в год: 390;!!Сайт образовательной программы: !https://www.hse.ru/ba/antiq/ !!
«Иностранные языки и межкультурная коммуникация»!!;Требуемый набор экзаменов: !1. Русский язык!2. Обществознание!3. Иностранный язык;!!Проходной балл на бюджет 2019 года: 298;!!Стоимость обучения, тыс. руб. в год: 550;!!Сайт образовательной программы: !https://www.hse.ru/ba/lang/ !!
«Фундаментальная и компьютерная лингвистика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык;!!Проходной балл на бюджет 2019 года: 290;!!Стоимость обучения, тыс. руб. в год: 420;!!Сайт образовательной программы: !https://www.hse.ru/ba/ling/ !!
«История»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. История;!!Проходной балл на бюджет 2019 года: 277;!!Стоимость обучения, тыс. руб. в год: 390;!!Сайт образовательной программы: !https://www.hse.ru/ba/hist/ !!
«Античность»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. История;!!Проходной балл на бюджет 2019 года: 270;!!Стоимость обучения, тыс. руб. в год: 390;!!Сайт образовательной программы: !https://www.hse.ru/ba/antiq/ !!
«Философия»!!;Требуемый набор экзаменов: !1. Русский язык!2. Обществознание!3. Иностранный язык!4. История;!!Проходной балл на бюджет 2019 года: 338;!!Стоимость обучения, тыс. руб. в год: 390;!!Сайт образовательной программы: !https://www.hse.ru/ba/phil/ !!
«Современное искусство»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. Литература;;!!Стоимость обучения, тыс. руб. в год: 440;!!Сайт образовательной программы: !http://art.hse.ru/ !!
«История искусств»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. История;!!Проходной балл на бюджет 2019 года: 279;!!Стоимость обучения, тыс. руб. в год: 420;!!Сайт образовательной программы: !https://www.hse.ru/ba/histart/ !!
«Культурология»!!;Требуемый набор экзаменов: !1. Русский язык!2. Обществознание!3. Иностранный язык!4. История;!!Проходной балл на бюджет 2019 года: 358;!!Стоимость обучения, тыс. руб. в год: 390;!!Сайт образовательной программы: !https://www.hse.ru/ba/cultural/ !!
«Дизайн»!!;Требуемый набор экзаменов: !1. Русский язык!2. Литература!3. Внутренний экзамен;!!Проходной балл на бюджет 2019 года: 286;!!Стоимость обучения, тыс. руб. в год: 600;!!Сайт образовательной программы: !https://www.hse.ru/ba/design/ !!
«Мода»!!;Требуемый набор экзаменов: !1. Русский язык!2. Литература!3. Внутренний экзамен;;!!Стоимость обучения, тыс. руб. в год: 600;!!Сайт образовательной программы: !http://design.hse.ru/bak-fashion!!
«Востоковедение»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. История;!!Проходной балл на бюджет 2019 года: 291;!!Стоимость обучения, тыс. руб. в год: 490;!!Сайт образовательной программы: !https://www.hse.ru/ba/oriental/ !!
«Турция и тюркский мир»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. История;;!!Стоимость обучения, тыс. руб. в год: 400;!!Сайт образовательной программы: !https://www.hse.ru/ba/turkey/ !!
«Монголия и Тибет»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. История;;!!Стоимость обучения, тыс. руб. в год: 400;!!Сайт образовательной программы: !https://www.hse.ru/ba/mongolia/ !!
«Эфиопия и арабский мир»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. История;;!!Стоимость обучения, тыс. руб. в год: 400;!!Сайт образовательной программы: !https://www.hse.ru/ba/ethiopia/ !!
Санкт-Петербург;;;;
«Прикладная математика и информатика (СПБ)»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Информатика;!!Проходной балл на бюджет 2019 года: 296;!!Стоимость обучения, тыс. руб. в год: 390;!!Сайт образовательной программы: !https://spb.hse.ru/ba/appmath/ !!
«Физика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Физика;;!!Стоимость обучения, тыс. руб. в год: 290;!!Сайт образовательной программы: !https://spb.hse.ru/ba/physics !!
«Экономика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык!4. Обществознание;!!Проходной балл на бюджет 2019 года: 361;!!Стоимость обучения, тыс. руб. в год: 390;!!Сайт образовательной программы: !https://spb.hse.ru/ba/economics/ !!
«Международный бизнес и менеджмент»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык;;!!Стоимость обучения, тыс. руб. в год: 450;!!Сайт образовательной программы: !https://spb.hse.ru/ba/management/ !!
«Логистика и управление цепями поставок»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык;!!Проходной балл на бюджет 2019 года: 274;!!Стоимость обучения, тыс. руб. в год: 350;!!Сайт образовательной программы: !https://spb.hse.ru/ba/log/ !!
«Управление и аналитика в государственном секторе»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык!4. Обществознание;!!Проходной балл на бюджет 2019 года: 350;!!Стоимость обучения, тыс. руб. в год: 320;!!Сайт образовательной программы: !https://spb.hse.ru/ba/gmu/ !!
«Социология и социальная информатика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык!4. Обществознание;!!Проходной балл на бюджет 2019 года: 350;!!Стоимость обучения, тыс. руб. в год: 320;!!Сайт образовательной программы: !https://spb.hse.ru/ba/soc/ !!
«Юриспруденция»!!;Требуемый набор экзаменов: !1. Русский язык!2. Обществознание!3. Иностранный язык!4. История;!!Проходной балл на бюджет 2019 года: 357;!!Стоимость обучения, тыс. руб. в год: 350;!!Сайт образовательной программы: !https://spb.hse.ru/ba/law/ !!
«Политология и мировая политика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Обществознание!3. Иностранный язык!4. История;!!Проходной балл на бюджет 2019 года: 371;!!Стоимость обучения, тыс. руб. в год: 390;!!Сайт образовательной программы: !https://spb.hse.ru/ba/political/ !!
«Филология»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. Литература;!!Проходной балл на бюджет 2019 года: 296;!!Стоимость обучения, тыс. руб. в год: 320;!!Сайт образовательной программы: !https://spb.hse.ru/ba/philology/ !!
«История»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. История;!!Проходной балл на бюджет 2019 года: 275;!!Стоимость обучения, тыс. руб. в год: 290;!!Сайт образовательной программы: !https://spb.hse.ru/ba/hist/ !!
«Дизайн»!!;Требуемый набор экзаменов: !1. Русский язык!2. Литература!3. Внутренний экзамен;!!Проходной балл на бюджет 2019 года: 285;!!Стоимость обучения, тыс. руб. в год: 400;!!Сайт образовательной программы: !https://spb.hse.ru/ba/designs/ !!
«Востоковедение»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. История;!!Проходной балл на бюджет 2019 года: 291;!!Стоимость обучения, тыс. руб. в год: 420;!!Сайт образовательной программы: !https://spb.hse.ru/ba/oriental/ !!
Пермь;;;;
«Программная инженерия»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Информатика;!!Проходной балл на бюджет 2019 года: 262;!!Стоимость обучения, тыс. руб. в год: 170;!!Сайт образовательной программы: !https://perm.hse.ru/ba/se/ !!
«Экономика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык!4. Обществознание;!!Проходной балл на бюджет 2019 года: 307;!!Стоимость обучения, тыс. руб. в год: 170;!!Сайт образовательной программы: !https://perm.hse.ru/ba/economics/ !!
«Управление бизнесом»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык;;!!Стоимость обучения, тыс. руб. в год: 170;!!Сайт образовательной программы: !https://perm.hse.ru/ba/business/ !!
«Бизнес-информатика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык;!!Проходной балл на бюджет 2019 года: 245;!!Стоимость обучения, тыс. руб. в год: 170;!!Сайт образовательной программы: !https://perm.hse.ru/ba/bi/ !!
«Юриспруденция»!!;Требуемый набор экзаменов: !1. Русский язык!2. Обществознание!3. Иностранный язык!4. История;!!Проходной балл на бюджет 2019 года: 317;!!Стоимость обучения, тыс. руб. в год: 150;!!Сайт образовательной программы: !https://perm.hse.ru/ba/law/ !!
«История»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. История;!!Проходной балл на бюджет 2019 года: 236;!!Стоимость обучения, тыс. руб. в год: 150;!!Сайт образовательной программы: !https://perm.hse.ru/ba/hist/ !!
Нижний Новгород;;;;
«Математика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Физика;!!Проходной балл на бюджет 2019 года: 246;!!Стоимость обучения, тыс. руб. в год: 200;!!Сайт образовательной программы: !http://nnov.hse.ru/ba/math/ !!
«Прикладная математика и информатика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Информатика;!!Проходной балл на бюджет 2019 года: 258;!!Стоимость обучения, тыс. руб. в год: 145;!!Сайт образовательной программы: !http://nnov.hse.ru/ba/ami/ !!
«Программная инженерия»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Информатика;!!Проходной балл на бюджет 2019 года: 268;!!Стоимость обучения, тыс. руб. в год: 145;!!Сайт образовательной программы: !http://nnov.hse.ru/ba/se/ !!
«Экономика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык!4. Обществознание;!!Проходной балл на бюджет 2019 года: 322;!!Стоимость обучения, тыс. руб. в год: 175;!!Сайт образовательной программы: !http://nnov.hse.ru/ba/economics/ !!
«Управление бизнесом»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык;!!Проходной балл на бюджет 2019 года: 320;!!Стоимость обучения, тыс. руб. в год: 175;!!Сайт образовательной программы: !https://nnov.hse.ru/ba/business/ !!
«Бизнес-информатика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык;!!Проходной балл на бюджет 2019 года: 250;!!Стоимость обучения, тыс. руб. в год: 160;!!Сайт образовательной программы: !http://nnov.hse.ru/ba/bi/ !!
«Юриспруденция»!!;Требуемый набор экзаменов: !1. Русский язык!2. Обществознание!3. Иностранный язык!4. История;!!Проходной балл на бюджет 2019 года: 319;!!Стоимость обучения, тыс. руб. в год: 175;!!Сайт образовательной программы: !http://nnov.hse.ru/ba/law/ !!
«Филология»!!;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. Литература;!!Проходной балл на бюджет 2019 года: 281;!!Стоимость обучения, тыс. руб. в год: 140;!!Сайт образовательной программы: !http://nnov.hse.ru/ba/philology/ !!
«Фундаментальная и прикладная лингвистика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык;!!Проходной балл на бюджет 2019 года: 272;!!Стоимость обучения, тыс. руб. в год: 145;!!Сайт образовательной программы: !http://nnov.hse.ru/ba/ling/ !!
